NAME,APPEARANCE,TEMPERAMENT,HEALTH,HOUSEPET POTENTIAL,SPACE & EXERCISE,ACTIVITIES AND DOG SPORTS,GROOMING,RECOMMENDED FOR
Alaskan Malamute,"APPEARANCE The Alaskan Malamute is the largest of the Arctic breed s, weighing up to 56kg and standing up to 71cm tall. Females are significantly smaller than males. The most common colour is grey and white or black and white. A white or grey muzzle, face, throat and chest is common. The Malamute’s eyes are a distinct light brown, surrounded by a dark eye-rim and pale fur, giving the dog an intelligent appearance. Malamutes are classified as a long haired breed with a coarse guard coat of sufficient length to protect a woolly undercoat. This dense undercoat acts as insulation against heat and cold whilst the guard coat protects from dampness and dirt. For the full breed standard, please visit the ANKC website","TEMPERAMENT Alaskan Malamutes are pack animals with very strong dominant instincts. They are an extremely intelligent breed and can be very stubborn and easily bored . These traits, when combined with their size and strength, can lead to destructive behaviour such as chewing and digging, particularly as puppies. Bored Alaskan Malamutes are famous for chewing through drywall, ripping the stuffing out of sofas, and turning your yard into a moonscape of giant craters! Although their appearance is often intimidating to strangers, Malamutes lack watchdog instincts and should not be relied upon to guard the family home. Malamutes however may not tolerate strange animals. They should be socialised early with other family pets and kept under close control when outside the family home. Malamutes are family orientated and aggression towards humans must not be tolerated. Generally a quiet dog, the Alaskan Malamute does not bark . However if bored or socialising with other dogs, the Malamute may howl quite loudly and incessantly.","HEALTH AND LIFESPAN There are three major health factors relating to the Alaskan Malamute. Hip dysplasia: A heritable disease which affects the joints of the hips. This is due to the size of the breed and poor breeding practices. Before purchasing a puppy make sure the parents have been screened and passed. Day blindness: Also heritable, this disease is characterised by inability to see in bright light although ability to see in decreased illumination is retained. Again, ensure that the parents have been tested by an ophthalmologist before purchasing a puppy. Nutritional disorders: Alaskan Malamutes are a rapidly growing breed. A balanced diet must be provided to the young pup. Poor nutrition will lead to bone disorders that will remain for the duration of the dog’s life. A healthy Alaskan Malamute will live an average life of 11-14 years.",not available,not available,not available,"GROOMING AND MAINTENANCE As a long coated breed the Alaskan Malamute requires regular twice weekly grooming sessions. For these you will need a soft slicker or pin brush to remove any knotting amongst the guard and top hairs. Followed by either a rake (preferably with rotating pins so it doesn’t pull and hurt as much) or a wide toothed comb, preferably with Teflon anti-static coating so it slides through easier to remove undercoat or to tease apart tangles or mats. As you groom your dog, spend a few minutes running your fingers gently through the coat. Feel for any lumps and look for grass seeds, bindii, sores or inflammed areas. Regular grooming is important for all dogs but especially older ones. If there are paralysis ticks in your area, it is imperative that you check for these parasites daily. Females will moult twice a year (1 seasonal and 1 hormonal moult) and males once a year. During moulting season, the dog should be groomed once daily. Desexed dogs will need less grooming due to reduced hormonal influences. Malamutes will adjust to most climates and should not be clipped. Alaskan Malamutes tend to eat less than other large type breeds. This is due to their slow metabolism, a genetic adaptation to working in harsh conditions with minimal food supplies.",
Australian Cattle Dog,"APPEARANCE The Australian Cattle Dog is a strong, compact and sturdy dog, enabling him to combine great endurance with bursts of speed and the extreme agility necessary in controlling unruly cattle. They give the impression of a dog that is tough, alert and capable of quick and sudden movement. They have a strong head and broad face with upright ears. It is normal for dogs to have an initial cautious glint or look in the eye. Cattle Dogs come in blue or red, with distinctive patterns of mottling and block colour. The dogs have short powerful legs and a rudder-like thick tail that helps the dog balance and turn when moving around quickly. The weather-resistant coat consists of a short, dense undercoat and moderately short, straight outer coat of medium texture. Height: Male 46–51 cm, Female 43–48 cm Weight: Male 15–16 kg, Female 14–16 kg For the full breed standard, please visit the ANKC website","TEMPERAMENT Australian Cattle Dogs are loyal, courageous and devoted and possess a natural aptitude in the working and control of cattle. Australian Cattle Dog herding cattle They are suspicious of strangers and will protect the family and possessions with their life.  They are not naturally aggressive but if provoked they will not back down without a fight.  Australian Cattle Dogs love nothing better than to be able to spend time in the company of their owners, doing whatever is asked of them.  Although they can sometimes be very stubborn or mischievous, an owner should always be firm without being cruel as the Australian Cattle Dog does not learn through harsh treatment. The Australian Cattle Dog is best described as intelligent, energetic and fiercely loyal. They have been known to bite a stranger and some can be quite unstable: biting people if they look at the dog or get between the dog and its owner. A good breeder will produce dogs specifically for their temperament with breed standards an important, but secondary, consideration.",HEALTH & LIFESPAN Bluey (1910-1939) - longest living Cattle Dog Cattle Dogs are usually hardy and healthy and do not have any significant health problems. A Cattle Dog called Bluey is credited as being the longest living dog ever. He lived to 29 years of age and worked sheep for 20 of those years. Most Australian Cattle Dogs will live for about 10 to 13 years.,"HOUSEPET POTENTIAL The Australian Cattle Dog can be very active and vocal at times so from the beginning, your dog should be taught that unnecessary barking is not allowed.  While not usually a fence jumper, the Australian Cattle Dog can jump, so if you have low fences then perhaps a pen or run could be built for the dog for those times when he is left home alone. This breed must be socialised with other animals and people from an early age and throughout their life.",not available,not available,GROOMING The Australian Cattle Dog is very low maintenance and owners say they need very little brushing and can be bathed once in a while.,
Australian Kelpie,"APPEARANCE Since its inception, the Kelpie breed has developed into two distinct strains; the original Working Kelpie and the more recent class of ‘Bench Kelpie’ – a type specifically created for the show ring and more often seen as a pet rather than a working dog. Unlike the Bench Kelpie, the working dog is not bred for colour. The black and tan is regarded as the truest colour of the Working Kelpie breed, though it may also appear in red, blue or fawn, with or without tan. Working Kelpies are slightly smaller than the bench type, which stands up to 51cm at the withers (like the Australian Cattle Dog). The typical double coat has a short thick undercoat covered by a hard, straight rain-resistant outer coat. There is a definite ruff around the neck and mild breaching behind the legs.The Working Kelpie’s coat is also more coarse than the bench type. Kelpies are athletic with muscular shoulders and a strong hindquarter. The head is slightly rounded and broad between the eyes. Unlike the Bench Kelpie, the Working Kelpie is maintained in ‘working condition’, with a very trim, muscular physique devoid of unnecessary bulk or flab. For the full Breed Standard, please visit the ANKC website","TEMPERAMENT Working Kelpies are tireless and hardworking and their intelligence is apparent to anyone who sees them in action. The dog’s desire to work amongst sheep is instinctive. Young, untrained dogs can be seen naturally mimicking the actions of the more experienced dogs, working their actions out for themselves based purely on hereditary factors. Kelpies are a very loyal breed, and are regarded as a ‘one man dog’. When selecting a new dog, stockmen may initially look for a pup which is naturally drawn to them. The stockman can then rely on this bond to be strengthened as the dog matures, making it easier to train the animal. As the dog matures and is introduced to sheep, stockmen will look for those animals which show a ‘willingness to comply’: wanting to work for their boss, not just for themselves.","HEALTH AND LIFESPAN The Working Kelpie is a very sound breed with an average lifespan of 12-15 years. Breed selection is not only based on temperament and intelligence but also health and conformation, unlike show dogs, which are bred to conform to a written standard (often to the detriment of the overall health of the breed).",not available,not available,not available,not available,not available
Belgian Malinois,"APPEARANCE The Malinois has a short mahogany coat with black markings. It has black erect ears and a black muzzle. It has a square build in comparison to the German Shepherd . The other varieties of the Belgian Shepherd are distinguished by their coats and colours. The Tervueren is the same colour but has long hair; the Laekenois is fawn and lacks the black mask and ears, and the Groenendael has long hair and is solid black. Weight: Female 25-30 Kgs, Male 28-34 Kgs Height: Female 56-61 cm, Male 61-66 cm For the full breed standard, visit the ANKC website .","TEMPERAMENT The Belgian Shepherd is an intelligent and attentive breed, wary of strangers but not timid or aggressive. They are protective of their families, but if left alone can become introverted and even fear-biters. They are slow to mature mentally, and are not considered mature until they are three years old.","Belgian Malinois will live for 12 to 14 years. Hip dysplasia is not unknown in the breed, but Australian breeders have done much to decrease the instance of this problem.",not available,not available,not available,"Belgian Shepherds require daily brushing and combing, for at least a total of 30 minutes a week, with special attention to the undercoat during the shedding season. Excess hair should be removed from the inner ear and between the toes, and owners should watch for tangles in the ‘pantaloons’ and behind the ears.",
Border Collie,not available,not available,not available,not available,not available,not available,not available,not available
Cavalier King Charles Spaniel ,"Cavalier King Charles Spaniel Tri-colour With a sweet rounded face, big brown eyes and soft floppy ears the Cavalier is the ultimate “cute” dog. There are four colours, Blenheim (chestnut and white), Tri-colour (black, white and tan), black and tan, and ruby (solid red). Weight: 5.9 – 8.2 kg (Male or Female) Height: 31 – 33 cm (Male or Female) For the full breed standard visit the ANKC website","TEMPERAMENT Cavaliers are affectionate and compliant, tolerant of children and come highly recommended by many vets. This comfort-loving breed adores cuddling in laps but he also has more athletic instincts than you might think. Indeed, he can be a runner and chaser. A fenced backyard or a leash are musts at all times, because many Cavaliers have an instinct to chase most things that move including low-flying birds or even butterflies, vehicles on busy streets etc. and so most Cavaliers will never become ""street-wise"". Because the breed is so people-oriented, Cavaliers become stressed when left alone too long and are best suited to a home where someone is around. A Cavalier King Charles Spaniel who is lonely will whine or bark or chew destructively. Most Cavaliers are polite with everyone and peaceful with other dogs and cats. As they tend to regard all strangers as friends, members of the breed will usually not make good guard dogs. Cavaliers do need a decent amount of exercise - a couple of long daily walks and a fenced yard in which to run.","HEALTH & LIFESPAN Responsible breeders are screening parents to eliminate known genetic problems such as luxating patellas (slipping kneecaps), eye defects and congenital heart problems . Cavaliers can often suffer from, most notably Mitral Valve Disease , which leads to heart failure . It is both a congenital disease and is inherited in certain lines of Cavaliers. Syringomyelia (SM) is reported to be ""very widespread"" in the Cavalier King Charles Spaniel breed. Syringomyelia is a disorder of the brain and spinal cord, which may cause severe head and neck pain and possible paralysis. The average lifespan of a Cavalier King Charles Spaniel is between 9 and 14 years.",not available,not available,not available,GROOMING The Cavalier needs bathing and a good brush for 15-20 minutes each week. When coming out of winter hair may be shed onto furnishings. The drop ears should be wiped clean and checked regularly to avoid infections.,
Chihuahua,"APPEARANCE The Chihuahua is a lightly-built dog, tiny and fragile with a large rounded skull and big dark eyes. There are two types, the smooth-coated and long-coated. They are usually less than 20cm (8″) tall and weigh between 0.9-1.8kg (2-4lb). There are two forms: the smooth-coated which has a soft, short, close coat; and the long-coated which has a long, soft, flat or slightly curly coat with fringed ears, feathered feet and legs and a ruffle around the neck. Coat colours range from white through cream, sable, sand, blue to black. For the Long Coat Chihuahua  standard, visit this ANKC page For the Short Coat Chihuahua  standard, visit this ANKC page","TEMPERAMENT They can become very attached to their owners and reserved around strangers, and especially around children if not used to them. Chihuahuas tend to be high-strung and prone to nipping, snapping and even biting when frightened or threatened or when defending his people or territory. While primarily a companion dog, some owners call the Chihuahua a ‘pocket watchdog’ which can be noisy if visitors arrive. Many older people enjoy and encourage this early warning system. Some of these tendencies can be helped through early socialisation and training. Unfortunately, too many people with Chihuahuas allow them to become little tyrants, displaying manners that would not be acceptable in a larger dog. Chihuahuas have a reputation for being spoiled and untrainable, but that’s often because people don’t make an effort to train them. Chihuahuas are just like any other dog: they need consistent rules and structure if they are to learn effectively.","HEALTH & LIFESPAN Tiny dogs often come with big health problems, and the Chihuahua is no exception. Many Chihuahuas live long, healthy lives, but conditions seen in the breed include breathing difficulties caused by a windpipe that collapses in on itself. Luxating patellas are an orthopedic problem. The patella, or kneecap, of most very small dogs, including the Chihuahua, can very easily become displaced, causing pain and lameness. In mild cases the knee quickly slips back into place on its own, but severe cases must be corrected surgically. Ask your veterinarian to examine your dog's knees regularly, especially if you notice him limping or ""bunny hopping"" while running. Chihuahuas frequently have what's called a ""molera"" , or an open fontanelle, which is a soft area under the skin of the forehead where the bony plates of the skull have not fused together. It may eventually close up and become hard, but in some dogs, the molera never fully closes. While many dogs can live a normal lifespan with a molera, some may have a condition called hydrocephalus (fluid buildup in and around the brain), which can cause seizures and even death if not treated. The Chihuahua's round, protruding eyes are one of his most distinctive characteristics, but they are prone to a number of genetic eye disorders as well as to frequent injuries. Teeny-tiny Chihuahuas? They’re cute, but they are also fragile and more prone to medical problems like hypoglycemia (low blood sugar). Most Chihuahuas live 12-14 years.",HOUSEPET POTENTIAL,not available,not available,"GROOMING Chihuahuas come in two coat types: smooth and long. Smooth Chihuahuas wear a velvety, shiny, close-fitting coat and have a ruff — an area of thicker, longer hair — around the neck. They have a scant covering of hair on the head and ears. The tail should be furry, not bare. Smooth Chihuahuas shed, but they are so small that the amount is manageable for all but the most house proud. Brush them weekly with a rubber grooming glove or soft bristle brush to remove dead hair and keep the skin and coat healthy. The long-coated Chihuahua is the product of a recessive gene, meaning a puppy must have the gene from both parents for the long coat to express itself, so he isn’t seen in litters as frequently as the smooth. The long, soft coat is flat or slightly curly, and the dog has a ruff around the neck, fringed ears, feathering on the legs and a plumed tail. The hair on the rest of the body is almost as smooth as that on the smooth Chihuahua. Long-coated Chihuahuas are beautiful, and they’re easy to groom, but they do shed seasonally. Brush the longcoat with a soft bristle brush once or twice a week. Use a stainless steel comb to remove tangles from the hair on the ears, legs and tail. If you brush the Chihuahua faithfully, he shouldn’t need frequent baths. If he spends a lot of time on your furniture or in your bed, though, there’s nothing wrong with bathing him as often as a couple of times a week. Use a gentle shampoo made for dogs and dry him thoroughly so he doesn’t get chilled. Never let him sit around and air dry. Keep your Chihuahua’s big ears clean with a solution recommended by your veterinarian. Don’t use cotton swabs inside the ear; they can push gunk further down into it. Wipe out the ear with a cotton ball, never going deeper than the first knuckle of your finger. Trim his nails regularly, usually every couple of weeks. They should never be so long that you hear them clicking on the floor.",not available
Dachshund,"APPEARANCE There are two sizes: the Standard, which is 25-28cm (10-11″) and the Miniature which is 20cm (8″). Their lungs are large for a dog this size and they have a barrel-like chest. The Dachshund's unusually large and paddle-shaped paws were perfect for efficient digging. There are three coat varieties: the smooth, the long, and the wire, which when combined with the two sizes accommodates the six different types. There is a wide range of colours available in either solids, or lesser-known dapples (also called merles). Weight : 9 kg-12 kg. For a Miniature, the ideal weight is 4.5kg (10 lbs). For the full breed standard, please visit the ANKC website","Dachshunds are extremely sociable dogs and are not suitable for being left alone all day.  They want to be with you and your family as much as possible and also like to be on your lap or having cuddles on the couch, so if you want a dog for the backyard a Dachshund is not for you. They are just as happy playing and being taken for a walk or car ride, which they love, as they are cuddled up to you on the sofa.  Some Dachshunds have been described by their owners as couch potatoes, but it is important that they are exercised regularly to keep their weight down and also to prevent boredom and destructiveness. Dachshunds have a mind of their own, can be stubborn, obstinate,  have selective hearing and if you let them, they will rule the household. They are not hard to housetrain with the right training, but it can be said that this breed doesn’t enjoy getting wet, and there is certainly a consensus of opinion that when it rains they will not willingly go out in the garden to answer calls of nature! Dachshunds will bark and are territorial.  If a stranger comes to the door they’ll bark, if the doorbell rings they’ll bark,  if they can see someone walking past their house, they’ll bark, a bird flying into the garden, they’ll bark. Whatever they can see belongs to them.  Not all Dachshunds display this behaviour but you need to be aware of it. Dachshunds were originally bred to hunt badgers and some of them can have high prey drives, meaning the chooks will not be safe!   You may think your Dachshund has excellent recall off leash but if they see something interesting they will be off in a second following their instincts and will not come back until they’re ready.  This often leads to tragic consequences.   Dachshunds are better off being walked on the leash, especially in areas where there are cars as they do not have any road sense. Not all Dachshunds like big dogs and they have no idea of their size in relation to other dogs. They will happily take on a bigger dog to protect you or their territory, sometimes with tragic consequences.","HEALTH The extreme short legs of the Dachshund are caused by a dominant gene which produces a condition known as Chondrodysplasia ; this is where the cartilage of the growth plates grows at a slow rate and can weaken the backbone. This means the long spine might be vulnerable to back problems especially if the dog is obese , frequently uses stairs or is allowed to jump down from chairs or lounges. Intervertebral disk disease is a major clinical problem in the breed. However, by recognising the causes and consequences of the problem, owners may prevent a great deal of difficulties by restricting the amount of excessive jumping and managing the weight of their dogs. Progressive Retinal Atrophy (PRA) is a term for retinal degenerations occurring in many breeds of dogs. The disease results in a degeneration of the light-sensitive membrane at the back of the eye – the retina – resulting in loss of vision, and often leading to blindness. PRA has been diagnosed in all varieties of Dachshunds but there has been a predominant incidence in the mini long-haired variety.",not available,not available,not available,"GROOMING Dachshunds are a low-maintenance breed. They shed, but not excessively. Smooths can be wiped with a damp cloth between baths to keep them clean. If you live in a location that is cold in the winter, your Smooth Dachshund may need a sweater when he goes outside. Wirehaired Dachshund Wirehaired Dachshunds require regular brushing, and they'll need to have their coats ""stripped"" two to three times a year to look their best. Longhaired Dachshunds should be brushed regularly to remove knots and burrs and prevent mats from forming. They need to be bathed more often than the Smooth Dachshund, and you must blow-dry them afterward for their coat to look good. Special attention should be given to the areas under the ears and between the pads of the feet.",
Dalmatian,"APPEARANCE The breed as we know it today has physical characteristics similar to both pointers and hounds, however the Dalmatian is used neither for scent work nor as a gun dog. Its primary use, both historically and currently, is as companion and guard dog . Much like the Pharaoh Hound, Greyhound and Whippet , the coat is short, dense, and fine. The balanced, strong and muscular physique, without bulk or coarseness, is also very much like that of the gundogs – the Pointer, Weimaraner or the German Shorthaired Pointer. The main characteristic which defines the Dalmatian is its spots. Born with white hair and small pigmented spots in the skin, the coloured spots develop at around two to three weeks and the nose will darken at about three months of age. The spots continue to form with age usually up to two or three months, developing into either black or brown, called liver. The spots should be round, clearly defined and not overlapping. Height: Males: 58-61cm; Females: 56-58cm Weight: 23-28kg. Females are invariably at the smaller end of the scale. For the full breed standard, please visit the ANKC page","TEMPERAMENT Well-bred Dalmatians are loyal and loving companions and are eager to please their owners. They make excellent watchdogs. Although not yappy, they will however alert their owner if something is amiss. They are powerful, active and boisterous dogs that do need discipline. You can expect young pups to dig holes in the yard and chew up your plants too. At least until the dog has matured and learned some obedience. With an average working dog intelligence, the Dalmatian will enjoy obedience training and excels at agility classes. Dalmatians have a stable, outgoing nature which suits an active family. EXERCISE Most Dalmatians find an average to large backyard adequate, but they are a breed of great physical endurance, able to travel at a moderate pace for great lengths of time. A morning and evening walk is recommended to burn off energy and stimulate the dog’s mental wellbeing. Breeders warn Dalmatians have little road sense and need a well fenced backyard.","HEALTH & LIFESPAN A Dalmatian’s white coat and pale pigmentation will contribute to the likelihood of sunburn . The most susceptible areas, the nose, ears and eye-rims, will be less inclined to burn where more pigment is present. A metabolic defect unique to the Dalmatian breed can lead to liver and subsequent bladder problems , resulting in bladder stones. This is a hereditary disease and is best avoided by purchasing from breeders whose dogs do not possess the condition. Encouraging your dog to drink plenty of water will minimise the effects of the disease. In past veterinary journals, deafness was reported in up to 30% of the breed. Breeders say this figure is not representative of Australian lines. Deafness will usually show up in puppies by about four weeks of age. People considering buying a Dalmatian puppy should deal with a reputable breeder and always have the dog’s hearing checked. Another reported problem is allergies which may result in skin lesions. Paspalum grass is one known cause of these allergies. Dalmatians live for between 12-14 years.",not available,not available,not available,"GROOMING While they do not have a strong doggy odour, a fortnightly bath is adequate. When a Dalmatian sheds, the white hair is very noticeable and daily wiping with a rubber glove will remove most loose hairs.",
Dobermann,"The Dobermann is a medium to large, deep-chested dog breed with a sleek and sturdy appearance. The breed is muscular and athletic, possessing great strength and endurance. Dobermanns have traditionally had their tails docked (removed) soon after birth and, later, their ears cropped (trimmed surgically in order to make them stand erect). Much controversy has surrounded the practice of ear cropping and tail docking in dogs and Australia has thankfully outlawed both practices. Yet, 95% of images we found on the Internet proudly depict Dobermans that have been ""mutilated"" so clearly there's a long way to go before this is no longer considered a desirable look by owners especially in the show ring. Dobermanns come in four colours, black, brown, blue and fawn all with rust tan markings (sometimes small patches of white are seen). Weight: Males 40-45kg; Females 32-65kg Height: Males 68-72cm; Females 63-68cm For the full breed standard, please visit the ANKC website .","The Dobermnan is known to be energetic, watchful, fearless and obedient. A lthough considered to be working dogs, Dobermanns are often stereotyped as being ferocious and aggressive . As a personal protection dog, the Dobermann was originally bred for these traits: it had to be large and intimidating, fearless, and willing to defend its owner, but sufficiently obedient and restrained to only do so on command. These traits served the dog well in its role as a personal defense dog, police dog, or war dog, but were not ideally adapted to a companionship role. The Dobermann's aggression has been toned down by modern breeders over the years , and today's Dobermanns are known for a much more even and good natured temperament, extreme loyalty, high intelligence, and great trainability. For instance, Psychologist Stanley Coren ranks the Dobermann as the 5th most intelligent dog in the category of obedience command training, based on the selective surveys he performed (as documented in his book The Intelligence of Dogs ). HEALTH & LIFESPAN One of the most negative characteristics of the Dobermann is their short life span rarely living past 10 years. This can sometimes make them unsuitable for those who find losing a pet extremely traumatic. There are several genetic problems which can be clearly identified at an early age through mandatory health testing requirements and detection. 1. Von Willebrands factor – a form of haemophilia that can be detected by a DNA test 2. Hip Dysplasia – this can lay dormant in some dogs and X-rays must be presented and cleared 3. Eye problems – Ectopic and Entopic problems must not be detected by a animal opthamologist Although the National Dobermann Council has standard temperament tests, the Qld club makes these tests compulsory for their members. The tests are conducted by the club to weed out shy and nervous dogs who do not respond well to unfamiliar stimuli. Any aggression, shyness, or “stand offishness” is seen as incorrect behaviour for a companion breed. Dogs who fail the temperament tests may be deemed unsuitable for breeding. The following Dobermann problems are not clearly detectable until symptoms present themselves, at which stage the dog is struck from the breeding register. 4. “Wobblers” – a skeletal problem in which vertebrae fuse, the symptoms mimic hip dysplasia 5. Hypothyroidism – thinning of the hair along the flanks and sluggish personality 6. Diluted Alopecia – a recessive gene occurs in colour variations of blue and fawn and causes hair to fall out permanently 7. Heart Problems – recommended to have regularly heart checks and ultrasounds and an ECG once every two years.",not available,not available,not available,not available,"The Dobermann has a short, smooth hair coat that requires very little grooming .",
