Name,Category,Weight,HealthRisk,LifeExpectancy,Coat,GroomingIntensity,MonthlyCost,Trainability,ActivityLevel,Purpose,Content,AdditionalContent
Affenpinscher,Small & Cute Family & Kid Friendly Smart & Trainable ,3-6 kg,Medium,12-14 years,Short,Medium,Very Low,Medium,Medium,,"Are you a fan of small, quirky looking dogs with a big personality? Then the Affenpinscher may just be perfect for you.    Affenpinschers are cute and naughty, brave at heart and very lively. They love to play with other dogs, kids, pets or anybody/thing that comes their way.    If you are looking for a pet that always steals the show, then this breed could be for you, as they are sure to provide a constant stream of entertainment.    Some countries call Affenpinschers “the little devil dog who wears a moustache”. This breed’s funky looks underline its big personality: the underbite, bushy eyebrows, moustache, flat pushed-up nose and hair around the eyes are just some the quirky features that make up its extravagant looks.    Affenpinschers can be quite stubborn and are not that easy to train. But they love their pack and will stick by you when out on walks. They are fine with living in an apartment or house with a garden, as long as they get walked daily.    To keep the Affenpinscher’s coat looking good and not completely wild requires regular brushing. A trim twice a year is recommended.",
Afghan Hound,Active & Energetic ,26-34 kg,Medium,12-14 years,Short,Medium,high,Low,Medium,,"Afghan Hounds are elegant and majestic looking dogs that are also very fast runners, getting up to speeds of 45km per hour!    These unique looking dogs bear themselves with dignity and pride, but are friendly, good natured and laid back at home. They are happy to relax elegantly on the couch like a sphinx, and can watch TV for hours on end without appearing to move or blink an eye.    But don’t let the laid back, low-key homebody image fool you - once outside, Afghan Hounds change into dynamic, energy-releasing dogs with a strong hunting instinct. In fact, some Afghans have such a strong prey drive that they can hardly be let off the leash. They are fast and need to run, so we recommend taking them for runs or teaching them to run alongside a bicycle.    Afghan hounds excel in dog sports such as lure coursing, which appeal to their hunting instincts. Their free spirit and independence can make them hard to train, so they are not recommended for novice dog owners.    Their fine long hair requires lots of grooming otherwise it will knot and mat very easily. Brushing after each outing is recommended to ensure a silky smooth look.",
Airedale Terrier,Active & Energetic Low Shedding Smart & Trainable ,23-29 kg,Very high,10-14 years,Short,High,average,High,High,,"With an overly long looking snout, small pointy batman ears, short cropped tails and wiry hair, Airedale Terriers might not be everyone’s cup of tea. But don’t judge a book by its cover, because Airedales make fine companion dogs that are great to train and fun to be around.    The Airedale Terrier’s sheer lust for life makes them the perfect companion for any active person who loves sharing adventures with their dogs. They want action and want to use their brainpower, and will follow you around the house and look at you with anticipation of what’s coming next. A simple walk around the block twice a day will not do for this breed…Airedales can quickly turn from a terrier into a terror if their brain and body don’t get a sufficient workout!    Airedales are great as watch, hunting or service dogs as they like to work. Rest assured, with some training, patience and clear boundaries, they can also become very obedient and a true companion.    Airedales are a rather robust breed and do not tend to have a lot of illnesses. They have a great temperament but can be quite stubborn like most terriers. Their wiry coats don’t shed much and therefore brushing is only required every second or third day.    <div></div>",
Akita,Active & Energetic Protective & Guarding ,38-50 kg,Very high,11-15 years,Medium,Medium,High,Medium,High,,"Akitas are autonomous and independent dogs that tend to build a strong bond with their owners. If you are after a social butterfly, this breed will not match what you are looking for - they can be friendly to strangers or completely ignore them. This behaviour may come across as arrogant, but an Akita simply chooses their friends selectively.    Akitas tend to be very calm around the house and do not usually bark much. They are a strong-willed breed that is recommended for an experienced dog owner, as the handler needs to be confident and consistent in order to earn the dog's respect and trust.    Their calm nature gives them the ability to concentrate and work for a long time. Mental stimulation is a must, paired with lots of daily exercise.    <span>The Akita has had a long and troubled history. It is said that the Akita originated in Japan and</span><span>was originally name the Odate Dog, but the name was changed to the Akita in 1931.</span>The Akita's ancestorsworked on their own or in pairs. This may explain why they are not usually the best choice for multi-dog households or off-leash dog parks.","Where to get my Akitafrom? - Rest of the world    Now that you decided which breed your new dog should be, the question is where to get your new family addition. Have you considered adopting? Adoping a dog is a great way to give a dog a second chance to share its unconditional love. Here are some organisations that may help you to find your Akita:    <ul>    <li>Arctic Breed Rescue: <a href=""http://www.abrinc.org.au/"">http://www.abrinc.org.au/</a></li>    <li>Akita Rehoming Info: <a href=""http://www.akitasbygoodomen.com.au/rehome.html"">http://www.akitasbygoodomen.com.au/rehome.html</a></li>    <li>Pet Rescue: <a href=""https://www.petrescue.com.au"">https://www.petrescue.com.au</a></li>    </ul>"
Alaskan Malamute,Active & Energetic Smart & Trainable ,36-43 kg,Very high,12-16 years,Long,High,Average,High,High,,"Alaskan Malamutes are true pack animals. They need the company of other dogs or people and don't do well being home alone.    They are highly inquisitive - they like to test new objects for their bite resistance and will put their nose into every bag they can find.    Alaskan Malamutes love digging and will turn all the plants in your garden up side down ... but you can't possibly stay mad at them when they bat their beautiful eyes at you with a look of pure innocence!    Be warned, they are highly active and need a minimum of three hours exercise a day ... and a relaxed walk around the neighbourhood simply won't do. We recommend teaching them to run alongside a bike or pull a cart with weight to ensure they get their daily work out.    Alaskan Malamutes have no protecting impulse at all ... they hardly ever bark and might not even react when the doorbell rings or visitors arrive!    Lastly, if you are a clean freak then don't even think about getting an Alaskan Malamute as you will find fur in every inch of your home and car, especially when it's shedding season.",
American Bulldog,Protective & Guarding Chilled Out & Relaxed ,30-59 kg,High,10-15 years,Short,Low,very high,Low,Low,,"American Bulldogs are friendly, affectionate and loving dogs that look tough but have a very sensitive gentle soul. With their very strong build they are often misunderstood, as their looks don’t reflect their gentle temperament.    Being too hard or too strict on this breed can hamper their willingness to learn and please immensely. American Bulldogs might seem brave, and they can be when it is absolutely necessary. But in reality their personality is soft and they don’t do well with being reprimanded. They thrive best on praise and treats with rules and structure to follow.    Bred as a working dog, this breed has high energy levels, needs to be active and have a job to do. They do well at many dog sports including Obedience and Schutzhund, or with almost any work you can give them. Being a bulldog, they can be headstrong by nature and require consistent training and rules.    The bulldog looks and strong build are not for everybody but once you got to experience their soft temperament and kindness you will be sure to fall in love with your American Bulldog!",
American Eskimo Dog,Family & Kid Friendly Active & Energetic ,8-16 kg,Medium,13-15 years,Long,High,low,Medium,Medium,,"American Eskimo Dogs love to play…non-stop. They make great playmates for kids - their energy is almost endless and they will only stop playing when the kids have had enough. Daily walks are a must and any dog sport you have time for would be a great added extra for this breed.    American Eskimos are small and very fluffy but don’t be fooled as they sure do have a loud voice. Their small size could make them seem like good apartment dogs but their desire to bark and alert their owners is likely to upset nearby neighbours. They will be protective of their family and act like they are Rottweilers when strangers come to visit, and it may take them a few minutes to settle down with the new arrival.    American Eskimos also enjoy the outdoors too much to be apartment dogs. They are super fast learners, requiring only a few repetitions to teaching a new skill before they get it. Kids will enjoy this challenge and American Eskimo puppies will be able and willing to become circus dogs, as they love to perform what they have learnt.    American Eskimos shed a lot, and their fluffiness comes with a prize … daily brushing is a must for owners that don’t want a house full of dog hair.",
American Staffordshire Terrier,Active & Energetic Family & Kid Friendly Protective & Guarding ,25-30 kg,Medium,10-12 years,Short,Low,Average,Medium,Medium,,"American Staffordshire Terriers (often called American Staffys or Amstafs) make great family dogs and watch dogs.    Their sweet temper, and kind and gentle nature makes them popular family pets. They are very clingy, affectionate and playful, especially with kids, and will show their owners unconditional loyalty.    American Staffordshire Terriers are a strongly built, muscly breed with a short body and a deep chest. They need to learn to control their power and body mass. Early socialisation is therefore of the utmost importance for this breed.    They enjoy any kind of dog sport. They show great talent as assistance dogs or even search-and-rescue dogs, where they can use their brain and muscle power.",
Australian Cattle Dog,Active & Energetic Protective & Guarding Smart & Trainable ,18-22 kg,Medium,12-15 years,Medium,Low,Average,Very high,Very high,,"Australian Cattle Dogs are also known as Blue or Red Heelers, depending on their colour. If you're after an intelligent, hard-wired working dog that's compact, speedy and very versatile, the Australian Cattle Dog could be perfect for you.    Their temperament is hard to categorise, as they can be anything from soft and cuddly to very dominant and protective. But some characteristics you can be certain of, like their wariness of strangers, their need for lots of action, and their faithfulness to their owners. They may also seem like they never need to sleep!    Bred for jobs like herding, or moving cattle, this breed needs a job to be happy. And they usually need more exercise than just walking - agility, obedience and any other dog sports are recommended.    Training a Cattle Dog isn't hard, but you need to be confidant and set boundaries from the start. It is therefore not an ideal breed for first-time dog owners.",
Australian Kelpie,Active & Energetic Family & Kid Friendly Smart & Trainable ,14-20 kg,Medium,11-15 years,Short,Low,Average,Very high,Very high,,"Australian Kelpies are good-looking working dogs that can also make great family dogs as long as they receive lots of physical and mental stimulation.    Kelpies have a keen outlook on things along with a calm, balanced personality. They are orientated to their owner and the children and will thrive living in a big family. But it's worth keeping in mind that they are herding dogs and may sometimes turn this skill on the kids!    Their energy may at times seem inexhaustible. This energy, paired with their intelligence and natural herding instinct makes them highly suitable for farm work.    Kelpies are easy to train but can try to push boundaries. They are used to thinking for themselves so you won't be able to demand and achieve total obedience. Mental stimulation, paired with lots of daily exercise, is an absolute must for this breed.",
Australian Shepherd,Active & Energetic Protective & Guarding Smart & Trainable ,23-29 kg,Low,13-15 years,Long,Medium,Above average,Very high,Very high,,"If you're after fun, sport and play and you're an active person who wants an active dog, then the Australian Shepherd (also nicknamed 'The Aussie') could be a good choice for you.    It's easy to fall in love with the Australian Shepherd's looks. Their smart eyes - sometimes different in colouration - and their beautiful long fur make them stunning dogs.    They are eager to please and are ideal dogs for agility, obedience, rally or other sports. They have an alert and caring nature and will be at first reserved towards strangers but will slowly warm to them.    The Aussie's job is herding and over generations of breeding they have become the ultimate working dog. Which means that if you don't give them a job to do, they may just find themselves one. So a usually quiet dog like the Aussie can decide to bark a lot if he finds himself a job as watchdog!    Be warned, these dogs are very quick learners and will quickly outsmart you if you let them. They have the ability to think for themselves and even ifthey seem easy to train, they are not easy to raise. You need to make them understand consequences and give them clear rules. Don't get fooled by their cute cuddly looks. They are not just cute - they're highly intelligent and smart and want their minds to be challenged.",
Australian Silky Terrier,Low Shedding Protective & Guarding Active & Energetic Small & Cute ,3.5-4.5 kg,Medium,12-15 years,Short,High,very low,Medium,High,,"The Australian Silky Terrier is an intelligent, happy, little dog with a strong character. While most terriers are quite headstrong, the Australian Silky Terrier seems to be one of the easier terrier breeds to train.    At home Silky Terriers are alert but uncomplicated little companions who like to follow you around and make sure all is in order. They tend to think they are bigger then they actually are and take actions into their own hands if they are not shown strong leadership from the start. Some can become very yappy and will feel the need protect their territory.    This breed might be small but they are full of beans and need a lot of exercise – if not, they won’t be happy and will show their frustrations. They are easy to train and will thrive doing training with their owners. There isn’t anything cuter than watching an Australian Silky Terrier doing dog agility sport!    Silkies move fast and are keen to assist in catching mice or other unwanted small animals in the house. They tend not to warm to small children and prefer to ignore them.    To keep the shiny smooth look, your Silky’s coat will need to be brushed daily.",
Australian Terrier,Active & Energetic Low Shedding Smart & Trainable ,5.5-7 kg,Medium,12-15 years,Medium,Medium,Low,High,Very high,,"Some people joke about the 'terrier' name deriving from the word 'terror'. Whatever its origins, to avoid terror fromyour terrier, it is vitally important that you provide them with mental stimulation, daily exercise and good leadership.    Like most other terrier breeds, the Australian Terrier tendsto be bossy and will nudge or bark at you until they get what they want. Don't be fooled by their innocent looks and adorable head tilt - they will take over your household if you let them!    Australian Terriers consider a game of chase to be great fun, and at the park they will want to chase a ball or other dogs around for hours. With their boundless energy, they can also excel in agility or other dog sports.    These balls of fun are more suitable for households with no kids as they tend to be a little bit wary of children and their bossy temperament can be too pushy for some children.",
Basenji,Active & Energetic Low Shedding ,10-12 kg,Medium,12-16 years,Short,Low,low,High,High,,"The name Basenji means “small wild thing from the bush” which refers back to the origins of this breed in central Africa, where they tended to live more alongside than actually with people.    Basenjis are best raised as free spirited, independent dogs. They thrive in a pack living arrangement and do not like to be home alone. It is important not to try to humanise this breed in any way.    Basenjis require long daily walks. Their senses are sharp and their hearing and eyesight compares to that of an eagle. Busy city life can be too stressful for this domesticated but yet wild at heart breed. Their hunting instinct is intense and everything that moves is seen as a potential dinner opportunity. Taking your Basenji off the lead requires a lot of training and control over the dog.    Basenjis are called “barkless dogs” as, due to their flat larynx, they cannot bark. But don’t get over excited, Basenjis simply yodel instead!    Your Basenji will pick up on your mood swings like no other breed, and will tend to mirror your emotional state. Living with a Basenji can best be summarised as living with a wild dog that wants to be part of your pack but is still learning how to fit into civilisation.",
Basset Fauve De Bretagne,Active & Energetic Smart & Trainable ,16-18 kg,Medium,11-14 years,Medium,Low,average,High,High,,"This sturdy, tough mid-sized dog breed originated in France and has a long history as a hunting and family dog. Basset Fauves not only excel at hunting but are also loving family dogs, performing outstandingly in both roles.    Inside the house they are affectionate, caring and playful, and truly enjoy the attention of children. They are perfect for households with multiple dogs, as they are very friendly and tolerant. The more company, the more they enjoy themselves. You will find them sleeping a lot…preferably somewhere cozy in between a pack of many dogs!    Basset Fauve De Bretagnes are very attentive, listen to commands and are super fast at completing tasks – even outside the house. They have great endurance and love to comply, as they are keen to be praised for it. You will find them trying to excel at each and every job.    Their coats are hard and coarse to protect them from the winds. They require regular brushing to keep their coat free of sticks and leaves.",
Basset Hound,Family & Kid Friendly Chilled Out & Relaxed ,18-27 kg,Very high,11-12 years,Short,Medium,Average,Low,Low,,"Owning a Basset Hound will warm your heart ... they want to share their love, all the time! Looking like a cartoon character with their constant grin, their over-hanging belly, saggy eyes and floppy ears which are long enough to mop your floors, who can resist?    Basset Hounds have a warm personality, are very cuddly and love to have fun. They have such big hearts that they will share anything with you, even a peanut butter sandwich. Their great sense of humor and quirkiness will be sure to make you laugh!    They come from the family of hounds, and when out and about they will wander around to find interesting things to smell and be quite autonomous.    If you want a real buddy, don't mind dog drool and want to share a great sense of humour with your dog, then the Basset Hound is definitely one to have a closer look at.",
Beaglier,Active & Energetic Family & Kid Friendly Smart & Trainable Small & Cute ,5-11 kg,Medium,10-14 years,Medium,Low,low,High,High,,"A Beaglier is a so-called hybrid breed, meaning a cross between two breeds, in this case a Beagle crossed with a Cavalier King Charles Spaniel. The result is a super cute puppy that has the most expressive and sad looking eyes of any puppy we’ve ever seen. If you are a bit of a softy, those eyes will simply make you forgive anything!    When indoor, Beagliers can be real couch potatoes, and enjoy the comforts of being on your lap and having cuddles all day long. But once outside, the Beagle’s detective nose comes through - and wandering away from their owners is a common trait, along with finding anything even slightly edible in the park. When the fresh air hits their nostrils they quickly turn into action-packed super dogs.    Beagliers have the tendency to love everybody and everything. Cute and adorable, they show a lot of affection, not just to their own family but to everyone they come across. They are playful and gentle and make great family dogs that adjust well to different new situations. They just don’t do well with being left home alone for long hours.",
Beagle,Active & Energetic Family & Kid Friendly Smart & Trainable ,8-14 kg,Medium,12-15 years,Short,Low,Below average,High,High,,"Beagles are very social companions - they have a great sense of humour, love kids and make perfect family dogs, especially for the active family.    They love a large pack and will use any opportunity to join in with the kids' play. Their excellent sense of smell might cause them to wander away at the park and they will eat anything that comes into sight. But no matter what trouble they get into, those sad eyes and cute face will make you forgive them for anything!    Beagles are happiest if they get a couple of walks a day and when not left home alone for too long. They love to cuddle and to snuggle up on their beds inside the house at night. They also enjoy having a job, like playing with the kids or 'protecting' them. Without an activity, they are likely to get bored and may become destructive.    Health issues are low but Beagles are prone to eye and ear infections.",
Bearded Collie,Active & Energetic Family & Kid Friendly Smart & Trainable ,18-27 kg,Medium,14-15 years,Long,High,average,High,High,,"There is nothing more stunning to watch than a Bearded Collie running through a field with its hair blowing in the wind. It’s almost like he knows how good he looks and is keen to show off!    They are by nature intelligent working dogs that adjust well to an active family lifestyle and make great family companions. They enjoy long walks and like to keep themselves and their owners fit through participating in dog sports activities.    Bearded Collies are not just good looking active companions but are also clever dogs. You will be surprised how quickly they pick up new tricks and they will figure out any mind games you give them very quickly.    Their eyes are always observing and when they look at you it feels like they can see right inside you. You may not be able to look back into their eyes though, as they are usually covered with hair! Unless, like most owners of this breed, you decide to clip the hair over their eyes to help them see better.    Bearded Collies have a double coat that is soft and long with a thick undercoat. Their coat should not be trimmed – weekly brushing will keep it shiny, and a bath once in a while will do them good. Dirt, sand or mud will dry and just fall off.",
Bedlington Terrier,Active & Energetic Smart & Trainable ,8-10 kg,Very high,12-14 years,Short,High,low,Low,High,,"This small to medium sized terrier might look like a baby lamb, all cuddly and calm, but this does not reflect their temperament. Bedlington Terriers are, in fact, one of the most active dog breeds in the entire doggy universe!    Living with one is like living with an Olympic athlete who just wants to run and run. If you are thinking of keeping this breed in an apartment, four walks a day are required at a minimum, and a walk doesn’t just mean taking them around the block. For this breed, a walk needs to be a long walk including some off lead-time for play. They love to play and can do so for hours, especially if they find a playmate at the park!    Being originally bred for hunting, they are agile, brave and very dynamic. With their hunting genes, letting them off the leash where there may potentially be wildlife is not a good idea. Their bodies are bursting with energy, but once it is released, they are calm and affectionate dogs.    At the moment this is still a rare breed and not that easy to come across. If you don’t have much time on your hands and don’t like being active, then this breed is not for you. They are great companions and family dogs but can be quite stubborn and will thrive with good, consistent training from the start.    Their coat is thick and requires lots of grooming and brushing. Brushing them twice daily is recommended.",
